Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,69,12,T:System.Windows.Forms.Label,,,,,"this.label1.Text = ""Checked Items"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,69,12,P:System.Windows.Forms.Label.Text,,,,,"this.label1.Text = ""Checked Items"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,68,12,T:System.Windows.Forms.Label,,,,,this.label1.TabIndex = 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,68,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.label1.TabIndex = 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,67,12,T:System.Windows.Forms.Label,,,,,"this.label1.Size = new System.Drawing.Size(210, 36);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,67,12,P:System.Windows.Forms.Control.Size,,,,,"this.label1.Size = new System.Drawing.Size(210, 36);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,66,12,T:System.Windows.Forms.Label,,,,,"this.label1.Name = ""label1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,66,12,P:System.Windows.Forms.Control.Name,,,,,"this.label1.Name = ""label1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,65,12,T:System.Windows.Forms.Label,,,,,"this.label1.Location = new System.Drawing.Point(109, 16);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,65,12,P:System.Windows.Forms.Control.Location,,,,,"this.label1.Location = new System.Drawing.Point(109, 16);"
